,smiles,GWP100,LT,RE,lip,sol,GWP
9610,C(C(C(C(C(C(C(C(F)(F)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl,2.1761980057,0.6239513159,-0.680147171,0.3159481287,-4.7573370934,150.036873508
5920,C(C(C(C(C(C(C(C(F)(F)F)(Cl)F)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1764061451,0.696831584,-0.6991240382,0.3498724699,-4.7143802643,150.1087972224
4039,C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1764986515,0.56138587,-0.6508255005,0.288089633,-4.6701159477,150.1407743837
7441,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,2.1765935421,0.6435227394,-0.6295692325,0.3128803968,-4.9232654572,150.1735827764
7801,C(C(C(C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(Cl)F)(F)F)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl,2.1767070293,0.5451524854,-0.650971055,0.3179842234,-4.7808094025,150.2128303691
9349,C(C(C(C(C(C(C(C(F)(F)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1767406464,0.7913120985,-0.7001457214,0.3501953483,-4.9507026672,150.2244582007
4705,C(C(C(C(C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.1771192551,0.7148115039,-0.7002277374,0.3494836092,-4.7106003761,150.3554777939
2230,C(C(C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl)(Cl)Cl,2.1772096157,0.5521096587,-0.7069721818,0.2873527408,-4.642100811,150.3867644703
166,C(C(C(C(C(F)(F)F)(F)F)(Cl)Cl)(F)F)(Cl)Cl,2.1772592068,0.4793382287,-0.6364848614,0.0702223331,-3.6800508499,150.4039377614
4300,C(C(C(C(C(C(C(F)(Cl)Cl)(Cl)F)(Cl)F)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,2.177277565,0.5689949393,-0.7150601149,0.2723651528,-4.6637821198,150.410295679
