,smiles,GWP,name
381,C(C(C(F)(F)Cl)Cl)(F)F,,
382,C(C(C(F)(F)Cl)Cl)(F)Cl,,
383,C(C(C(F)(F)Cl)Cl)(F)Br,,
384,C(C(C(F)(F)Cl)Cl)(Cl)Cl,,
385,C(C(C(F)(F)Cl)Cl)(Cl)Br,,
386,C(C(C(F)(F)Cl)Cl)(Br)Br,,
387,C(C(C(F)(F)Cl)Cl)F,,
388,C(C(C(F)(F)Cl)Cl)Cl,,
389,C(C(C(F)(F)Cl)Cl)Br,,
390,C(C(C(F)(F)Cl)Br)(F)(F)F,,
391,C(C(C(F)(F)Cl)Br)(F)F,,
392,C(C(C(F)(F)Cl)Br)(F)Cl,,
393,C(C(C(F)(F)Cl)Br)(F)Br,,
394,C(C(C(F)(F)Cl)Br)(Cl)Cl,,
395,C(C(C(F)(F)Cl)Br)(Cl)Br,,
396,C(C(C(F)(F)Cl)Br)(Br)Br,,
397,C(C(C(F)(F)Cl)Br)F,,
398,C(C(C(F)(F)Cl)Br)Cl,,
399,C(C(C(F)(F)Cl)Br)Br,,
400,C(C(C(F)(F)Br)(F)(F)F)(F)(F)F,,
401,C(C(C(F)(F)Br)(F)(F)F)(F)F,,
402,C(C(C(F)(F)Br)(F)(F)F)(F)Cl,,
403,C(C(C(F)(F)Br)(F)(F)F)(F)Br,,
404,C(C(C(F)(F)Br)(F)(F)F)(Cl)Cl,,
405,C(C(C(F)(F)Br)(F)(F)F)(Cl)Br,,
406,C(C(C(F)(F)Br)(F)(F)F)(Br)Br,,
407,C(C(C(F)(F)Br)(F)(F)F)F,,
408,C(C(C(F)(F)Br)(F)(F)F)Cl,,
409,C(C(C(F)(F)Br)(F)(F)F)Br,,
410,C(C(C(F)(F)Br)(F)F)(F)(F)F,,
411,C(C(C(F)(F)Br)(F)F)(F)F,,
412,C(C(C(F)(F)Br)(F)F)(F)Cl,,
413,C(C(C(F)(F)Br)(F)F)(F)Br,,
414,C(C(C(F)(F)Br)(F)F)(Cl)Cl,,
415,C(C(C(F)(F)Br)(F)F)(Cl)Br,,
416,C(C(C(F)(F)Br)(F)F)(Br)Br,,
417,C(C(C(F)(F)Br)(F)F)F,,
418,C(C(C(F)(F)Br)(F)F)Cl,,
419,C(C(C(F)(F)Br)(F)F)Br,,
420,C(C(C(F)(F)Br)(F)Cl)(F)(F)F,,
421,C(C(C(F)(F)Br)(F)Cl)(F)F,,
422,C(C(C(F)(F)Br)(F)Cl)(F)Cl,,
423,C(C(C(F)(F)Br)(F)Cl)(F)Br,,
424,C(C(C(F)(F)Br)(F)Cl)(Cl)Cl,,
425,C(C(C(F)(F)Br)(F)Cl)(Cl)Br,,
426,C(C(C(F)(F)Br)(F)Cl)(Br)Br,,
427,C(C(C(F)(F)Br)(F)Cl)F,,
428,C(C(C(F)(F)Br)(F)Cl)Cl,,
429,C(C(C(F)(F)Br)(F)Cl)Br,,
430,C(C(C(F)(F)Br)(F)Br)(F)(F)F,,
431,C(C(C(F)(F)Br)(F)Br)(F)F,,
432,C(C(C(F)(F)Br)(F)Br)(F)Cl,,
433,C(C(C(F)(F)Br)(F)Br)(F)Br,,
434,C(C(C(F)(F)Br)(F)Br)(Cl)Cl,,
435,C(C(C(F)(F)Br)(F)Br)(Cl)Br,,
436,C(C(C(F)(F)Br)(F)Br)(Br)Br,,
437,C(C(C(F)(F)Br)(F)Br)F,,
438,C(C(C(F)(F)Br)(F)Br)Cl,,
439,C(C(C(F)(F)Br)(F)Br)Br,,
440,C(C(C(F)(F)Br)(Cl)Cl)(F)(F)F,,
441,C(C(C(F)(F)Br)(Cl)Cl)(F)F,,
442,C(C(C(F)(F)Br)(Cl)Cl)(F)Cl,,
443,C(C(C(F)(F)Br)(Cl)Cl)(F)Br,,
444,C(C(C(F)(F)Br)(Cl)Cl)(Cl)Cl,,
445,C(C(C(F)(F)Br)(Cl)Cl)(Cl)Br,,
446,C(C(C(F)(F)Br)(Cl)Cl)(Br)Br,,
447,C(C(C(F)(F)Br)(Cl)Cl)F,,
448,C(C(C(F)(F)Br)(Cl)Cl)Cl,,
449,C(C(C(F)(F)Br)(Cl)Cl)Br,,
450,C(C(C(F)(F)Br)(Cl)Br)(F)(F)F,,
451,C(C(C(F)(F)Br)(Cl)Br)(F)F,,
452,C(C(C(F)(F)Br)(Cl)Br)(F)Cl,,
453,C(C(C(F)(F)Br)(Cl)Br)(F)Br,,
454,C(C(C(F)(F)Br)(Cl)Br)(Cl)Cl,,
455,C(C(C(F)(F)Br)(Cl)Br)(Cl)Br,,
456,C(C(C(F)(F)Br)(Cl)Br)(Br)Br,,
457,C(C(C(F)(F)Br)(Cl)Br)F,,
458,C(C(C(F)(F)Br)(Cl)Br)Cl,,
459,C(C(C(F)(F)Br)(Cl)Br)Br,,
460,C(C(C(F)(F)Br)(Br)Br)(F)(F)F,,
461,C(C(C(F)(F)Br)(Br)Br)(F)F,,
462,C(C(C(F)(F)Br)(Br)Br)(F)Cl,,
463,C(C(C(F)(F)Br)(Br)Br)(F)Br,,
464,C(C(C(F)(F)Br)(Br)Br)(Cl)Cl,,
465,C(C(C(F)(F)Br)(Br)Br)(Cl)Br,,
466,C(C(C(F)(F)Br)(Br)Br)(Br)Br,,
467,C(C(C(F)(F)Br)(Br)Br)F,,
468,C(C(C(F)(F)Br)(Br)Br)Cl,,
469,C(C(C(F)(F)Br)(Br)Br)Br,,
470,C(C(C(F)(F)Br)F)(F)(F)F,,
471,C(C(C(F)(F)Br)F)(F)F,,
472,C(C(C(F)(F)Br)F)(F)Cl,,
473,C(C(C(F)(F)Br)F)(F)Br,,
474,C(C(C(F)(F)Br)F)(Cl)Cl,,
475,C(C(C(F)(F)Br)F)(Cl)Br,,
476,C(C(C(F)(F)Br)F)(Br)Br,,
477,C(C(C(F)(F)Br)F)F,,
478,C(C(C(F)(F)Br)F)Cl,,
479,C(C(C(F)(F)Br)F)Br,,
480,C(C(C(F)(F)Br)Cl)(F)(F)F,,
481,C(C(C(F)(F)Br)Cl)(F)F,,
482,C(C(C(F)(F)Br)Cl)(F)Cl,,
483,C(C(C(F)(F)Br)Cl)(F)Br,,
484,C(C(C(F)(F)Br)Cl)(Cl)Cl,,
485,C(C(C(F)(F)Br)Cl)(Cl)Br,,
486,C(C(C(F)(F)Br)Cl)(Br)Br,,
487,C(C(C(F)(F)Br)Cl)F,,
488,C(C(C(F)(F)Br)Cl)Cl,,
489,C(C(C(F)(F)Br)Cl)Br,,
490,C(C(C(F)(F)Br)Br)(F)(F)F,,
491,C(C(C(F)(F)Br)Br)(F)F,,
492,C(C(C(F)(F)Br)Br)(F)Cl,,
493,C(C(C(F)(F)Br)Br)(F)Br,,
494,C(C(C(F)(F)Br)Br)(Cl)Cl,,
495,C(C(C(F)(F)Br)Br)(Cl)Br,,
496,C(C(C(F)(F)Br)Br)(Br)Br,,
497,C(C(C(F)(F)Br)Br)F,,
498,C(C(C(F)(F)Br)Br)Cl,,
499,C(C(C(F)(F)Br)Br)Br,,
500,C(C(C(F)(Cl)Cl)(F)(F)F)(F)(F)F,,
501,C(C(C(F)(Cl)Cl)(F)(F)F)(F)F,,
502,C(C(C(F)(Cl)Cl)(F)(F)F)(F)Cl,,
503,C(C(C(F)(Cl)Cl)(F)(F)F)(F)Br,,
504,C(C(C(F)(Cl)Cl)(F)(F)F)(Cl)Cl,,
505,C(C(C(F)(Cl)Cl)(F)(F)F)(Cl)Br,,
506,C(C(C(F)(Cl)Cl)(F)(F)F)(Br)Br,,
507,C(C(C(F)(Cl)Cl)(F)(F)F)F,,
508,C(C(C(F)(Cl)Cl)(F)(F)F)Cl,,
509,C(C(C(F)(Cl)Cl)(F)(F)F)Br,,
510,C(C(C(F)(Cl)Cl)(F)F)(F)(F)F,,
511,C(C(C(F)(Cl)Cl)(F)F)(F)F,,
512,C(C(C(F)(Cl)Cl)(F)F)(F)Cl,,
513,C(C(C(F)(Cl)Cl)(F)F)(F)Br,,
514,C(C(C(F)(Cl)Cl)(F)F)(Cl)Cl,,
515,C(C(C(F)(Cl)Cl)(F)F)(Cl)Br,,
516,C(C(C(F)(Cl)Cl)(F)F)(Br)Br,,
517,C(C(C(F)(Cl)Cl)(F)F)F,,
518,C(C(C(F)(Cl)Cl)(F)F)Cl,,
519,C(C(C(F)(Cl)Cl)(F)F)Br,,
520,C(C(C(F)(Cl)Cl)(F)Cl)(F)(F)F,,
