,smiles,GWP,name
226,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(Cl)Cl,,
227,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)Cl)(Cl)F)(Cl)F,,
228,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(F)F)(F)F,,
229,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)Cl,,
230,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(F)F)(Cl)F,,
231,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(F)F,,
232,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)Cl,,
233,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)Cl)(Cl)F,,
234,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)F)(F)F,,
235,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)F)(Cl)Cl,,
236,C(C(C(C(C(F)(F)F)(Cl)F)(Cl)F)(Cl)F)(Cl)F,,
237,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(F)F)(F)F,,
238,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)Cl,,
239,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(F)F)(Cl)F,,
240,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(F)F,,
241,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(Cl)Cl,,
242,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl)(Cl)F,,
243,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)F)(F)F,,
244,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)F)(Cl)Cl,,
245,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(F)F)(Cl)F)(Cl)F,,
246,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(F)F,,
247,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(Cl)Cl,,
248,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F)(Cl)F,,
249,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(F)F,,
250,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)Cl,,
251,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl)(Cl)F,,
252,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(F)F,,
253,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)Cl,,
254,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)F)(Cl)F,,
255,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(F)F,,
256,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)Cl,,
257,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(F)F)(Cl)F,,
258,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(F)F,,
259,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)Cl,,
260,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)Cl)(Cl)F,,
261,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(F)F,,
262,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)Cl,,
263,C(C(C(C(C(Cl)(Cl)Cl)(F)F)(Cl)F)(Cl)F)(Cl)F,,
264,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F)(F)F,,
265,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F)(Cl)Cl,,
266,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(F)F)(Cl)F,,
267,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(F)F,,
268,C(C(C(C(C(Cl)(Cl)Cl)(Cl)Cl)(F)F)(Cl)Cl)(Cl)Cl,,
